iter	Passed	Remaining
401	13896	3387
402	13926	3352
403	13960	3317
404	13996	3283
405	14030	3248
406	14062	3213
407	14094	3178
408	14123	3142
409	14152	3106
410	14187	3072
411	14219	3037
412	14249	3001
413	14281	2966
414	14316	2932
415	14348	2897
416	14381	2862
417	14416	2828
418	14452	2793
419	14485	2759
420	14517	2724
421	14545	2688
422	14576	2653
423	14612	2619
424	14646	2584
425	14684	2550
426	14719	2516
427	14755	2482
428	14792	2448
429	14831	2414
430	14869	2380
431	14905	2346
432	14942	2312
433	14974	2277
434	15010	2242
435	15048	2208
436	15080	2174
437	15115	2139
438	15150	2105
439	15187	2071
440	15220	2036
441	15254	2001
442	15288	1967
443	15323	1932
444	15351	1897
445	15382	1862
446	15416	1827
447	15452	1793
448	15483	1758
449	15517	1724
450	15554	1689
451	15584	1654
452	15614	1620
453	15649	1585
454	15685	1551
455	15720	1516
456	15755	1482
457	15788	1447
458	15824	1413
459	15858	1379
460	15892	1344
461	15924	1309
462	15958	1275
463	15993	1240
464	16026	1206
465	16061	1171
466	16096	1137
467	16129	1102
468	16164	1068
469	16209	1034
470	16240	999
471	16276	965
472	16311	931
473	16342	896
474	16375	861
475	16407	827
476	16439	792
477	16474	758
478	16506	723
479	16538	689
480	16570	654
481	16603	620
482	16637	585
483	16662	550
484	16695	516
485	16729	481
486	16759	447
487	16791	412
488	16823	378
489	16859	344
490	16895	309
491	16929	275
492	16964	240
493	17000	206
494	17033	172
495	17070	137
496	17104	103
497	17139	68
498	17176	34
499	17209	0
