iter	RMSE
0	45.14487032
1	43.51726667
2	41.98582517
3	40.5382707
4	39.18808471
5	37.9148761
6	36.7540773
7	35.59842401
8	34.52901738
9	33.52322393
10	32.57292021
11	31.65971594
12	30.80605697
13	30.00042646
14	29.26630734
15	28.59605478
16	27.95020107
17	27.33394706
18	26.76901759
19	26.23481371
20	25.76451411
21	25.30242245
22	24.87885357
23	24.44375543
24	24.06427335
25	23.70874756
26	23.36042461
27	23.04270744
28	22.75570042
29	22.48144265
30	22.23149681
31	22.00375954
32	21.79549873
33	21.58498586
34	21.37856663
35	21.19628163
36	21.03062736
37	20.87919361
38	20.72089717
39	20.58526883
40	20.44500253
41	20.30965013
42	20.19534056
43	20.08989124
44	19.9735365
45	19.88036463
46	19.79019879
47	19.69306797
48	19.6122113
49	19.52114713
50	19.435188
51	19.36751483
52	19.30249569
53	19.2402317
54	19.18275319
55	19.12675829
56	19.06272283
57	19.00171879
58	18.94621481
59	18.89207651
60	18.8312221
61	18.78747325
62	18.7358141
63	18.69768756
64	18.65810741
65	18.62117848
66	18.57540397
67	18.54052608
68	18.50166177
69	18.47403327
70	18.44549506
71	18.41335637
72	18.38690017
73	18.35751551
74	18.32436609
75	18.29643721
76	18.26678133
77	18.23495486
78	18.20860894
79	18.18508809
80	18.150189
81	18.12876161
82	18.10721694
83	18.09115979
84	18.06557002
85	18.04750919
86	18.03322492
87	18.01826657
88	17.9941205
89	17.97384714
90	17.9511697
91	17.9332395
92	17.91880575
93	17.90027296
94	17.88508812
95	17.87418231
96	17.85681877
97	17.84357998
98	17.82767239
99	17.80532493
100	17.78779399
101	17.77900687
102	17.77032076
103	17.75624945
104	17.74012625
105	17.7244881
106	17.71389648
107	17.70093082
108	17.69132157
109	17.68254054
110	17.67531601
111	17.66346352
112	17.64593722
113	17.62661731
114	17.61664592
115	17.6062863
116	17.59325005
117	17.585821
118	17.57335257
119	17.55688139
120	17.54197519
121	17.53024703
122	17.50695234
123	17.49199591
124	17.48353364
125	17.47512297
126	17.46135897
127	17.44332397
128	17.42720572
129	17.40973357
130	17.39881974
131	17.38960279
132	17.37486843
133	17.36195285
134	17.35550833
135	17.34815036
136	17.33908161
137	17.33218081
138	17.31832121
139	17.30676772
140	17.30123587
141	17.29294354
142	17.28241453
143	17.27124566
144	17.2649535
145	17.24613046
146	17.23640434
147	17.22494951
148	17.20954815
149	17.19833851
150	17.18546359
151	17.17398082
152	17.15863358
153	17.1516246
154	17.1442822
155	17.13470803
156	17.12402637
157	17.12158582
158	17.10699916
159	17.0930724
160	17.08065575
161	17.07177021
162	17.06161088
163	17.0560108
164	17.04876007
165	17.04380531
166	17.0358051
167	17.02733918
168	17.02023264
169	17.00660509
170	17.00159881
171	16.99186141
172	16.98845402
173	16.97960789
174	16.9728189
175	16.96327762
176	16.9632655
177	16.95883282
178	16.9487007
179	16.94205849
180	16.93548272
181	16.92683338
182	16.92177694
183	16.91538059
184	16.90756851
185	16.90101245
186	16.89174047
187	16.88408367
188	16.87921743
189	16.87209122
190	16.86691045
191	16.86012155
192	16.85019271
193	16.83994808
194	16.83021951
195	16.82371286
196	16.81938095
197	16.80645624
198	16.79750243
199	16.79185759
200	16.78641976
201	16.77422351
202	16.76723094
203	16.7629748
204	16.75570212
205	16.75171187
206	16.74353355
207	16.73896226
208	16.72926911
209	16.71838616
210	16.71342335
211	16.70424568
212	16.70015636
213	16.69577151
214	16.69276171
215	16.68495773
216	16.67788801
217	16.67047203
218	16.66481112
219	16.65754441
220	16.64955347
221	16.64374802
222	16.63589833
223	16.63407671
224	16.63099543
225	16.62542575
226	16.62050218
227	16.6171615
228	16.61118469
229	16.6049392
230	16.60186131
231	16.60181897
232	16.59679793
233	16.58992615
234	16.58400169
235	16.57958266
236	16.57474012
237	16.56594156
238	16.55845384
239	16.55195963
240	16.54459394
241	16.53857248
242	16.53396788
243	16.5262824
244	16.5215991
245	16.51694021
246	16.5106749
247	16.49913317
248	16.49182742
249	16.48706266
250	16.48703241
251	16.48283008
252	16.47736478
253	16.47117544
254	16.46771233
255	16.46357164
256	16.45946696
257	16.45658217
258	16.44601922
259	16.44059121
260	16.4340071
261	16.42692132
262	16.42335409
263	16.41929513
264	16.41285066
265	16.40895143
266	16.40472361
267	16.39813195
268	16.39461476
269	16.39020935
270	16.38547826
271	16.38092972
272	16.37406682
273	16.37401943
274	16.37119853
275	16.36381354
276	16.36155026
277	16.3574053
278	16.35255822
279	16.34863276
280	16.34687838
281	16.34256969
282	16.34253221
283	16.33755527
284	16.32932141
285	16.32407597
286	16.32192741
287	16.31494293
288	16.3108024
289	16.30817733
290	16.30343672
291	16.29973649
292	16.29569644
293	16.29195574
294	16.28831909
295	16.28359254
296	16.27905117
297	16.27873596
298	16.27252563
299	16.2661237
300	16.26598756
301	16.2614727
302	16.2614127
303	16.25123992
304	16.2471982
305	16.24300842
306	16.23716339
307	16.23442018
308	16.23435599
309	16.22855532
310	16.22488153
311	16.21968419
312	16.21471096
313	16.21097232
314	16.21088563
315	16.21081555
316	16.20888944
317	16.20883223
318	16.2056241
319	16.20537123
320	16.20011498
321	16.196635
322	16.19657835
323	16.19325128
324	16.19030497
325	16.18768601
326	16.18313013
327	16.18248038
328	16.18007616
329	16.17736474
330	16.17436477
331	16.17118419
332	16.17066608
333	16.16658027
334	16.15908882
335	16.15362
336	16.1497306
337	16.14158452
338	16.13542263
339	16.13234972
340	16.13072236
341	16.12518153
342	16.12396516
343	16.11938166
344	16.11389772
345	16.11123739
346	16.11120243
347	16.10496401
348	16.10167017
349	16.09674132
350	16.08793187
351	16.08550458
352	16.08207783
353	16.07982834
354	16.0764199
355	16.0717092
356	16.06940256
357	16.06936745
358	16.06558512
359	16.06552974
360	16.06042726
361	16.05746194
362	16.05383084
363	16.04986087
364	16.04852355
365	16.04382207
366	16.0377223
367	16.03761202
368	16.03309686
369	16.03022371
370	16.02430032
371	16.02200259
372	16.02194381
373	16.01853468
374	16.01422134
375	16.01419786
376	16.01109142
377	16.00664862
378	16.00234294
379	16.00228696
380	15.99843691
381	15.99838852
382	15.99552775
383	15.99514338
384	15.99161755
385	15.98755042
386	15.98748165
387	15.98476502
388	15.97772578
389	15.97410279
390	15.97047743
391	15.9656703
392	15.9656128
393	15.96328279
394	15.9613635
395	15.96099527
396	15.95696073
397	15.95460891
398	15.95276693
399	15.95023445
400	15.94719755
401	15.94371587
402	15.94315229
403	15.93492177
404	15.93273757
405	15.92854847
406	15.92386052
407	15.92097289
408	15.92091606
409	15.91850715
410	15.91482082
411	15.91168822
412	15.91164794
413	15.90746146
414	15.90452262
415	15.90060635
