iter	RMSE
416	15.89630239
417	15.89229322
418	15.88838743
419	15.88670804
420	15.88641775
421	15.88550683
422	15.8836364
423	15.87972133
424	15.87610888
425	15.87350462
426	15.87069084
427	15.86812604
428	15.86470495
429	15.8616555
430	15.85991782
431	15.85911217
432	15.85552223
433	15.85546389
434	15.85214644
435	15.84848677
436	15.84814138
437	15.84570102
438	15.84129084
439	15.838139
440	15.83456532
441	15.83236337
442	15.82871612
443	15.82615144
444	15.82497768
445	15.82107076
446	15.8171997
447	15.81391475
448	15.81014499
449	15.80839332
450	15.80470777
451	15.80463124
452	15.8027613
453	15.79864738
454	15.79642258
455	15.79402774
456	15.79162513
457	15.78554571
458	15.78199375
459	15.77867412
460	15.77585624
461	15.77310497
462	15.77152578
463	15.76785935
464	15.76415866
465	15.76142909
466	15.75829349
467	15.75509283
468	15.75274761
469	15.74986915
470	15.74681748
471	15.7415359
472	15.7397537
473	15.73805234
474	15.73440502
475	15.73204385
476	15.73063289
477	15.72688052
478	15.72544336
479	15.72210721
480	15.71865013
481	15.71359651
482	15.70757695
483	15.70757089
484	15.70494524
485	15.6997883
486	15.69600277
487	15.69358692
488	15.69017174
489	15.68654302
490	15.68462064
491	15.6806596
492	15.67837555
493	15.67703094
494	15.67446524
495	15.6726457
496	15.66933911
497	15.66752032
498	15.66493338
499	15.66187522
